Sample	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length
p1_EKDN230020286-1A_HFCFGDSX7_L4_1	0.0	19598654.0	150	39.0	44.35084225182614	150.0
p1_EKDN230020286-1A_HFCFGDSX7_L4_2	0.0	19598654.0	150	39.0	44.20300903814568	150.0
p2_EKDN230020287-1A_HFCFGDSX7_L4_1	0.0	18967896.0	150	39.0	41.61267984167084	150.0
p2_EKDN230020287-1A_HFCFGDSX7_L4_2	0.0	18967896.0	150	39.0	41.27479287812156	150.0
p3_EKDN230020288-1A_HFC7FDSX7_L2_1	9.090909090909092	4393554.0	150	39.0	34.42821846632043	150.0
p3_EKDN230020288-1A_HFC7FDSX7_L2_2	0.0	4393554.0	150	39.0	34.63356020995877	150.0
p4_EKDN230020289-1A_HF7WWDSX7_L3_1	0.0	2987114.0	150	38.0	26.579215542457874	150.0
p4_EKDN230020289-1A_HF7WWDSX7_L3_2	0.0	2987114.0	150	38.0	25.965110601643033	150.0
p4_EKDN230020289-1A_HFC7FDSX7_L2_1	9.090909090909092	2819878.0	150	38.0	25.57008126689091	150.0
p4_EKDN230020289-1A_HFC7FDSX7_L2_2	0.0	2819878.0	150	38.0	25.51226152161628	150.0
p5_EKDN230020290-1A_HFC7FDSX7_L2_1	9.090909090909092	4732143.0	150	39.0	35.101889359071976	150.0
p5_EKDN230020290-1A_HFC7FDSX7_L2_2	0.0	4732143.0	150	39.0	35.00622892135283	150.0
p6_EKDN230020291-1A_HFC7FDSX7_L2_1	9.090909090909092	3944719.0	150	39.0	32.50638853269663	150.0
p6_EKDN230020291-1A_HFC7FDSX7_L2_2	0.0	3944719.0	150	39.0	32.473287548954886	150.0
